LABID,GTseq.val,GTseq.prod,RunMS43,RunMS45.90s,RunMS51,RunMS54,RunMS58
z0030424b,NA,3,NA,NA,NA,NA,NA
z0030475,NA,274,NA,NA,NA,NA,NA
z0032258,NA,286,NA,NA,NA,NA,NA
z0037610,NA,1,NA,NA,NA,19,NA
z0040275,NA,303,NA,NA,NA,226,NA
z0040287,NA,257,NA,NA,NA,325,NA
z0040337,NA,321,NA,NA,NA,NA,NA
z0040357,NA,237,NA,NA,NA,323,NA
z0040403,NA,294,NA,NA,NA,11,NA
z0040403b,NA,230,NA,NA,NA,NA,NA
z0040413,NA,227,NA,NA,NA,NA,NA
z0040451,NA,1,NA,NA,NA,NA,NA
z0040465,NA,254,NA,NA,NA,229,NA
z0040513,NA,1,161,189,NA,262,NA
z0040957,NA,87,NA,NA,NA,NA,NA
z0040960,NA,1,NA,NA,NA,25,NA
z0041072,NA,8,NA,NA,NA,NA,NA
z0041145,NA,10,NA,NA,NA,1,NA
z0041145b,NA,1,NA,NA,NA,NA,NA
z0041153,NA,275,NA,NA,NA,NA,NA
z0041233,NA,195,NA,NA,NA,325,NA
z0041250b,NA,193,NA,NA,NA,NA,NA
z0041274b,NA,5,NA,NA,NA,NA,NA
z0041465,NA,266,NA,NA,NA,254,NA
z0041472,NA,35,NA,NA,NA,323,NA
z0041480,NA,162,NA,NA,NA,315,NA
z0041483,NA,271,NA,NA,NA,336,NA
z0041494,NA,280,NA,NA,NA,146,NA
z0041494b,NA,262,NA,NA,NA,NA,NA
z0041498,NA,276,NA,NA,NA,331,NA
z0041501,NA,215,NA,NA,NA,329,NA
z0041507,NA,178,NA,NA,NA,322,NA
z0041512,NA,289,NA,NA,NA,337,NA
z0041521,NA,108,NA,NA,NA,NA,NA
z0041527,NA,239,NA,NA,NA,285,NA
z0042288,NA,240,NA,NA,NA,NA,NA
z0043464,NA,1,NA,NA,NA,NA,NA
z0043477,NA,277,NA,NA,NA,337,NA
z0043477b,NA,259,NA,NA,NA,NA,NA
z0043478,NA,151,NA,NA,NA,326,NA
z0043481,NA,278,NA,NA,NA,334,NA
z0043487,NA,3,NA,NA,NA,33,NA
z0043488,NA,1,NA,NA,NA,76,NA
z0043491,NA,267,NA,NA,NA,84,NA
z0043491b,NA,284,NA,NA,NA,NA,NA
z0043493,NA,1,NA,NA,NA,329,NA
z0043504,NA,301,NA,NA,NA,1,NA
z0043504b,NA,303,NA,NA,NA,NA,NA
z0043526,NA,263,NA,NA,NA,319,NA
z0043572,NA,278,NA,NA,NA,336,NA
z0043642b,NA,253,NA,NA,NA,NA,NA
