"","LABID","Rep1","Rep2","overlapping.genos","mismatches","pct.mismatched"
"113","z0195735","z0195735.GTseq.prod","z0195735b.GTseq.prod",255,3,0.0117647058823529
"114","z0195735","z0195735.GTseq.prod","z0195735.RunMS51",262,2,0.00763358778625954
"115","z0195735","z0195735b.GTseq.prod","z0195735.RunMS51",267,1,0.00374531835205993
"116","z0056073","z0056073.GTseq.prod","z0056073b.GTseq.prod",1,0,0
"117","z0056073","z0056073.GTseq.prod","z0056073.RunMS54",0,0,NA
"118","z0056073","z0056073.GTseq.prod","z0056073.RunMS58",229,1,0.00436681222707424
"119","z0056073","z0056073b.GTseq.prod","z0056073.RunMS54",0,0,NA
"120","z0056073","z0056073b.GTseq.prod","z0056073.RunMS58",1,0,0
"121","z0056073","z0056073.RunMS54","z0056073.RunMS58",0,0,NA
"122","z0196753","z0196753b.GTseq.prod","z0196753.GTseq.prod",221,0,0
"123","z0196753","z0196753b.GTseq.prod","z0196753.RunMS51",280,1,0.00357142857142857
"124","z0196753","z0196753.GTseq.prod","z0196753.RunMS51",220,0,0
"125","z0196709","z0196709.GTseq.prod","z0196709b.GTseq.prod",148,3,0.0202702702702703
"126","z0196709","z0196709.GTseq.prod","z0196709.RunMS51",211,4,0.018957345971564
"127","z0196709","z0196709b.GTseq.prod","z0196709.RunMS51",154,1,0.00649350649350649
"128","z0196809","z0196809b.GTseq.prod","z0196809.GTseq.prod",147,1,0.00680272108843537
"129","z0196809","z0196809b.GTseq.prod","z0196809.RunMS54",162,0,0
"130","z0196809","z0196809.GTseq.prod","z0196809.RunMS54",196,3,0.0153061224489796
"131","z0043940","z0043940b.GTseq.prod","z0043940.GTseq.prod",37,1,0.027027027027027
"132","z0043940","z0043940b.GTseq.prod","z0043940.RunMS54",238,3,0.0126050420168067
"133","z0043940","z0043940b.GTseq.prod","z0043940b.RunMS54",0,0,NA
"134","z0043940","z0043940.GTseq.prod","z0043940.RunMS54",37,1,0.027027027027027
"135","z0043940","z0043940.GTseq.prod","z0043940b.RunMS54",0,0,NA
"136","z0043940","z0043940.RunMS54","z0043940b.RunMS54",0,0,NA
"137","z0045731","z0045731.GTseq.prod","z0045731b.GTseq.prod",76,4,0.0526315789473684
"138","z0045731","z0045731.GTseq.prod","z0045731.RunMS54",296,2,0.00675675675675676
"139","z0045731","z0045731b.GTseq.prod","z0045731.RunMS54",76,4,0.0526315789473684
"140","z0196860","z0196860b.GTseq.prod","z0196860.GTseq.prod",119,1,0.00840336134453781
"141","z0196860","z0196860b.GTseq.prod","z0196860.RunMS51",286,0,0
"142","z0196860","z0196860.GTseq.prod","z0196860.RunMS51",119,1,0.00840336134453781
"143","z0043686","z0043686.GTseq.prod","z0043686b.GTseq.prod",1,0,0
"144","z0043686","z0043686.GTseq.prod","z0043686.RunMS54",0,0,NA
"145","z0043686","z0043686.GTseq.prod","z0043686.RunMS58",23,1,0.0434782608695652
"146","z0043686","z0043686b.GTseq.prod","z0043686.RunMS54",0,0,NA
"147","z0043686","z0043686b.GTseq.prod","z0043686.RunMS58",1,0,0
"148","z0043686","z0043686.RunMS54","z0043686.RunMS58",0,0,NA
