"","locus","num.genotyped","num.missing","prop.genotyped","num.alleles","allelic.richness","prop.unique.alleles","exptd.het","obsvd.het","num.snps"
"190","Mnov_gtseq_401",530,7,0.986964618249534,3,0.00566037735849057,0,0.589094375256116,0.584729981378026,2
"191","Mnov_gtseq_402",528,9,0.983240223463687,2,0.00378787878787879,0,0.48030303030303,0.480446927374302,1
"192","Mnov_gtseq_405",519,18,0.966480446927374,3,0.00578034682080925,0,0.322805707140243,0.307262569832402,3
"193","Mnov_gtseq_406",509,28,0.947858472998138,3,0.00589390962671906,0.00196463654223969,0.495264202081317,0.478584729981378,2
"194","Mnov_gtseq_407",501,36,0.932960893854749,3,0.00598802395209581,0,0.559582134432434,0.424581005586592,2
"195","Mnov_gtseq_41",532,5,0.990689013035382,2,0.0037593984962406,0,0.368680992226568,0.333333333333333,1
"196","Mnov_gtseq_410",515,22,0.95903165735568,2,0.00388349514563107,0,0.484514138526423,0.463687150837989,2
"197","Mnov_gtseq_413",537,0,1,3,0.00558659217877095,0.00186219739292365,0.122207354725174,0.115456238361266,2
"198","Mnov_gtseq_415",531,6,0.988826815642458,2,0.00376647834274953,0,0.495854566366875,0.461824953445065,1
"199","Mnov_gtseq_416",295,242,0.549348230912477,2,0.00677966101694915,0,0.360789617564962,0.251396648044693,1
"200","Mnov_gtseq_417",411,126,0.76536312849162,2,0.0048661800486618,0,0.50031265651348,0.39292364990689,3
"201","Mnov_gtseq_42",537,0,1,2,0.0037243947858473,0,0.381333944231266,0.381750465549348,1
"202","Mnov_gtseq_421",456,81,0.849162011173184,3,0.00657894736842105,0,0.594998748242725,0.482309124767225,3
"203","Mnov_gtseq_426",536,1,0.998137802607076,2,0.00373134328358209,0.00186567164179104,0.0890157057848014,0.0931098696461825,1
"204","Mnov_gtseq_43",537,0,1,2,0.0037243947858473,0,0.466934281613534,0.435754189944134,1
"205","Mnov_gtseq_431",464,73,0.864059590316574,2,0.00431034482758621,0,0.49986748130789,0.415270018621974,1
"206","Mnov_gtseq_434",537,0,1,2,0.0037243947858473,0,0.485131056697229,0.471135940409683,2
"207","Mnov_gtseq_437",515,22,0.95903165735568,3,0.0058252427184466,0,0.381437346089615,0.37243947858473,2
"208","Mnov_gtseq_438",429,108,0.798882681564246,2,0.00466200466200466,0,0.490462474126418,0.37243947858473,1
"209","Mnov_gtseq_44",445,92,0.828677839851024,3,0.00674157303370787,0,0.503843480239128,0.378026070763501,2
"210","Mnov_gtseq_440",534,3,0.994413407821229,4,0.00749063670411985,0,0.527868748881143,0.508379888268156,3
"211","Mnov_gtseq_441",533,4,0.992551210428305,3,0.00562851782363977,0.00187617260787992,0.486106633547376,0.525139664804469,2
"212","Mnov_gtseq_442",300,237,0.558659217877095,2,0.00666666666666667,0,0.497890929326655,0.299813780260708,1
